c_id,y_id,i_id,measure
1,1,0,19652816664.80009
1,2,0,19892485160.712284
1,3,0,21507447642.513157
1,4,0,23764139321.312576
1,5,0,25936835031.91847
1,6,0,27268451114.34651
1,7,0,30397580916.11603
1,8,0,32665472057.341244
1,9,0,36628961809.83313
1,10,0,41271138985.328705
1,11,0,45149512823.384476
1,12,0,51967289719.62616
1,13,0,63737347853.93978
1,14,0,88831245394.25203
1,15,0,97170558514.27011
1,16,0,104921215177.10828
1,17,0,110201881165.4049
1,18,0,118338596886.98398
1,19,0,134712029989.77621
1,20,0,149774930362.117
1,21,0,176642284918.147
1,22,0,193770274743.46243
1,23,0,177030416471.68927
1,24,0,193242166274.22568
1,25,0,180234716575.89932
1,26,0,182036933407.9463
1,27,0,189060349391.21228
1,28,0,235659196740.3958
1,29,0,299267974920.6091
1,30,0,310777222008.4648
1,31,0,325310415195.0396
1,32,0,324878874105.97546
1,33,0,311544406970.208
1,34,0,322211691456.2435
1,35,0,367216364716.36475
1,36,0,400302731411.2291
1,37,0,434568007512.9128
1,38,0,398899138574.23865
1,39,0,388608221581.6518
1,40,0,415222633925.76776
1,41,0,378376086723.19415
1,42,0,394648911678.5265
1,43,0,466488060570.7629
1,44,0,612490396927.0167
1,45,0,693407758231.8448
1,46,0,746054207846.6608
1,47,0,853099630996.3099
1,48,0,1053995523724.2615
1,49,0,927805183330.879
1,50,0,1146138465603.8052
1,51,0,1396649906339.3474
1,52,0,1546151783872.9639
1,53,0,1576184467015.492
1,54,0,1467483705131.736
1,55,0,1351693984524.503
1,56,0,1208846993739.9915
1,57,0,1330135756844.4075
1,58,0,1433904348500.1162
1,40,1,7.61707773
1,41,1,7.69938881
1,42,1,7.89658743
1,43,1,7.91207047
1,44,1,8.11845983
1,45,1,7.99579299
1,46,1,8.000101
1,47,1,8.07836906
1,48,1,8.26794704
1,49,1,8.57721647
1,50,1,8.44516726
1,51,1,8.55670577
1,52,1,8.68936294
1,53,1,8.77363922
1,54,1,9.05467885
1,55,1,9.33006717
1,56,1,9.25209201
2,0,2,2.67913472590723
2,1,2,2.36406619385343
2,2,2,2.39868330737835
2,3,2,2.2608391823983403
2,4,2,2.01449809094829
2,5,2,3.3520921567489896
2,6,2,3.0219816316073
2,7,2,2.85697200831844
2,8,2,2.64974015836375
2,9,2,2.61559000626652
2,10,2,2.88728955692843
2,11,2,2.61904685858105
2,12,2,2.4358119902250097
2,13,2,2.15465130649243
2,14,2,1.94135341120892
2,15,2,1.9721437962589499
2,16,2,2.00275336513055
2,17,2,1.68772647800164
2,18,2,1.59967155032807
2,19,2,1.52193168607333
2,20,2,1.13843442074363
2,21,2,1.14314876818876
2,22,2,1.3035343610749799
2,23,2,1.25458032300474
2,24,2,1.1995410451653299
2,25,2,1.42952312218953
2,26,2,1.22038872750142
2,27,2,1.74399403145367
2,28,2,2.1180722049861997
2,29,2,2.68625
2,30,2,2.3638410251969897
2,31,2,1.96333333333333
2,32,2,1.52152886115445
2,33,2,1.92792281498297
2,34,2,2.016007789121
2,35,2,1.86213698033379
2,36,2,1.6548434995029102
2,37,2,1.5776883155177401
2,38,2,1.6622919197582402
2,39,2,1.64547466656987
2,40,2,1.73072614713627
2,41,2,1.9518824453253198
2,42,2,1.8957711991561699
2,43,2,1.50347763554507
2,44,2,1.46126840890621
2,45,2,1.52401339252107
2,46,2,1.48108489489303
2,47,2,1.46629209992902
2,48,2,1.44192404201012
2,49,2,1.53862567601211
2,50,2,1.53940698128362
2,51,2,1.41185115924524
2,52,2,1.37865646470437
2,53,2,1.3294461087607001
2,54,2,1.330244423168
2,55,2,1.36551715396161
2,56,2,1.35015057288696
2,57,2,1.41952663807017
2,58,2,1.47490154739588
2,35,3,4.56816005706787
2,38,3,4.75665998458862
2,39,3,3.80062007904053
2,40,3,3.94893
2,41,3,3.84468
2,42,3,3.75037
2,44,3,3.97448
2,45,3,4.47908
2,46,3,4.8706
2,47,3,4.97426
2,48,3,5.26884
2,49,3,5.46355
2,50,3,5.6488
2,51,3,5.73741
2,52,3,5.8551
2,53,3,5.83885
2,54,3,5.94848
2,55,3,6.24106
2,0,0,15165569912.51993
2,1,0,15236854859.468977
2,2,0,19926293839.016327
2,3,0,23021477292.20927
2,4,0,21211892259.99042
2,5,0,21790035117.19005
2,6,0,27062716577.911068
2,7,0,30591834053.965298
2,8,0,33875881876.367176
2,9,0,37458898243.86095
2,10,0,42327600098.24124
2,11,0,49204456700.45162
2,12,0,58539008786.36837
2,13,0,79279057730.829
2,14,0,105136007528.75961
2,15,0,123709376567.89029
2,16,0,152678020452.8288
2,17,0,176171284311.76117
2,18,0,200800891870.16382
2,19,0,224969488835.18094
2,20,0,235024598983.26135
2,21,0,263561088977.12936
2,22,0,281682304161.0405
2,23,0,203304515490.79535
2,24,0,209023912696.8388
2,25,0,222942790435.29932
2,26,0,268137224729.72214
2,27,0,294084112392.66034
2,28,0,330397381998.4894
2,29,0,425595310000.0
2,30,0,461951781999.99994
2,31,0,602860000000.0
2,32,0,400599250000.0
2,33,0,437798577639.7516
2,34,0,558111997497.2627
2,35,0,769305386182.8485
2,36,0,850426432991.7421
2,37,0,883199625324.6753
2,38,0,863723411632.9167
2,39,0,599388579985.6726
2,40,0,655420645476.9061
2,41,0,559372276081.9658
2,42,0,507962487700.0239
2,43,0,558319920831.9792
2,44,0,669316654017.0941
2,45,0,891630177251.068
2,46,0,1107640289615.2253
2,47,0,1397084349956.3452
2,48,0,1695824565983.2039
2,49,0,1667019783585.0752
2,50,0,2208871646202.8193
2,51,0,2616200980392.157
2,52,0,2465188674415.032
2,53,0,2472806456101.294
2,54,0,2455994050148.7466
2,55,0,1802214373741.3206
2,56,0,1796275437087.991
2,57,0,2053594973992.6052
2,58,0,1868626087908.4788
2,40,1,6.56181769
2,41,1,6.7298316
2,42,1,8.18188846
2,43,1,7.84622081
2,44,1,8.06186239
2,45,1,8.25106619
2,46,1,8.34044194
2,47,1,8.2778788
2,48,1,8.11638847
2,49,1,8.44724142
2,50,1,9.723471
2,51,1,9.7830923
2,52,1,10.03918369
2,53,1,10.23850921
2,54,1,10.81982148
2,55,1,11.4647339
2,56,1,11.77150303
3,0,2,4.18525654025553
3,1,2,4.1283122434605195
3,2,2,3.99921638867122
3,3,2,3.6206501115489704
3,4,2,3.40206283659061
3,5,2,2.93026065941654
3,6,2,2.68328242154957
3,7,2,2.74792676977819
3,8,2,2.54364188044292
3,9,2,2.27378467044438
3,10,2,2.18897969593808
3,11,2,2.13148563939489
3,12,2,2.0118184382193203
3,13,2,1.8326018176742498
3,14,2,1.7838130850829002
3,15,2,1.8635418526560699
3,16,2,1.7659279778393397
3,17,2,1.80576360007784
3,18,2,1.84888740061337
3,19,2,1.71124591794032
3,20,2,1.76444861477782
3,21,2,1.7099156381512
3,22,2,1.954343585383
3,23,2,2.0811962487785203
3,24,2,2.11718885542571
3,25,2,2.09737623375073
3,26,2,2.10919711788911
3,27,2,2.0625763710105898
3,28,2,1.98676711890836
3,29,2,1.93461430865038
3,30,2,1.95879374221417
3,31,2,1.8954443385806399
3,32,2,1.86168769986295
3,33,2,1.82175350392748
3,34,2,1.6966802573186501
3,35,2,1.5540900711477699
3,36,2,1.4037525810645501
3,37,2,1.24624320151167
3,38,2,1.25629390156868
3,39,2,1.24170306410258
3,40,2,1.11808087955152
3,41,2,1.13736897251656
3,42,2,1.1208522916435502
3,43,2,1.1158787985427698
3,44,2,1.10796602708278
3,45,2,1.1106696550809199
3,46,2,1.12583240797021
3,47,2,1.18890178274099
3,48,2,1.24862138163726
3,49,2,1.38104398145933
3,50,2,1.1971536522414001
3,51,2,1.1960844580068801
3,52,2,1.12109997322812
3,53,2,1.00485841865034
3,54,2,0.9922705600439761
3,55,2,1.15012649687129
3,56,2,1.15845887951202
3,57,2,1.29339510677837
3,58,2,1.2526292323636101
3,11,3,7.71018981933594
3,12,3,7.61540985107422
3,13,3,7.03749990463257
3,14,3,6.68963003158569
3,15,3,6.4429497718811
3,16,3,6.72099018096924
3,17,3,6.73353004455566
3,18,3,7.09767007827759
3,19,3,6.71474981307983
3,20,3,6.48467016220093
3,21,3,6.43061017990112
3,22,3,6.51913976669312
3,23,3,6.88043022155762
3,24,3,6.64404010772705
3,25,3,6.2128701210022
3,26,3,6.04418992996216
3,27,3,6.32446002960205
3,28,3,6.17614984512329
3,29,3,6.09832000732422
